To learn about increasing the verbosity of the NGen log files please see http://go.microsoft.com/fwlink/?linkid=210113
06/29/2018 19:26:06.262 [1860]: 1>    Compiling assembly Microsoft.ServiceModel.DomainServices.Tools.resources, Version=4.0.0.00000, Culture=fr, PublicKeyToken=31BF3856AD364E35 (CLR v4.0.30319) ...
06/29/2018 19:26:18.684 [1860]: 1>Warning: System.IO.FileNotFoundException: Could not load file or assembly 'Microsoft.Office.Interop.MSProject, Version=12.0.0.0, Culture=neutral, PublicKeyToken=71e9bce111e9429c' or one of its dependencies. The system cannot find the file specified. while resolving 0x10000f5 - Microsoft.Office.Interop.MSProject._MSProject.
06/29/2018 19:26:18.684 [1860]: 1>Warning: System.IO.FileNotFoundException: Could not load file or assembly 'Microsoft.Office.Interop.MSProject, Version=12.0.0.0, Culture=neutral, PublicKeyToken=71e9bce111e9429c' or one of its dependencies. The system cannot find the file specified. while resolving 0x10000f6 - Microsoft.Office.Interop.MSProject.PjSaveType.
06/29/2018 19:26:18.809 [1860]: 1>Warning: System.IO.FileNotFoundException: Could not load file or assembly 'Microsoft.Office.Interop.MSProject, Version=12.0.0.0, Culture=neutral, PublicKeyToken=71e9bce111e9429c' or one of its dependencies. The system cannot find the file specified. while resolving 0x100021d - Microsoft.Office.Interop.MSProject._EProjectDoc_BeforeSaveEventHandler.
06/29/2018 19:26:18.809 [1860]: 1>Warning: System.IO.FileNotFoundException: Could not load file or assembly 'Microsoft.Office.Interop.MSProject, Version=12.0.0.0, Culture=neutral, PublicKeyToken=71e9bce111e9429c' or one of its dependencies. The system cannot find the file specified. while resolving 0x100021e - Microsoft.Office.Interop.MSProject._EProjectDoc_Event.
06/29/2018 19:26:18.809 [1860]: 1>Warning: System.IO.FileNotFoundException: Could not load file or assembly 'Microsoft.Office.Interop.MSProject, Version=12.0.0.0, Culture=neutral, PublicKeyToken=71e9bce111e9429c' or one of its dependencies. The system cannot find the file specified. while resolving 0x100021f - Microsoft.Office.Interop.MSProject._IProjectDoc.
06/29/2018 19:26:18.841 [1860]: 1>Warning: System.IO.FileNotFoundException: Could not load file or assembly 'Microsoft.Office.Interop.MSProject, Version=12.0.0.0, Culture=neutral, PublicKeyToken=71e9bce111e9429c' or one of its dependencies. The system cannot find the file specified. while resolving 0xa000074 - Microsoft.Office.Interop.MSProject.ApplicationClass..ctor.
06/29/2018 19:26:18.841 [1860]: 1>Warning: System.IO.FileNotFoundException: Could not load file or assembly 'Microsoft.Office.Interop.MSProject, Version=12.0.0.0, Culture=neutral, PublicKeyToken=71e9bce111e9429c' or one of its dependencies. The system cannot find the file specified. while resolving 0xa000075 - Microsoft.Office.Interop.MSProject._MSProject.get_COMAddIns.
06/29/2018 19:26:18.841 [1860]: 1>Warning: System.IO.FileNotFoundException: Could not load file or assembly 'Microsoft.Office.Interop.MSProject, Version=12.0.0.0, Culture=neutral, PublicKeyToken=71e9bce111e9429c' or one of its dependencies. The system cannot find the file specified. while resolving 0xa000076 - Microsoft.Office.Interop.MSProject._MSProject.Quit.
06/29/2018 19:26:18.841 [1860]: 1>Warning: System.IO.FileNotFoundException: Could not load file or assembly 'Microsoft.Office.Interop.MSProject, Version=12.0.0.0, Culture=neutral, PublicKeyToken=71e9bce111e9429c' or one of its dependencies. The system cannot find the file specified. while resolving 0xa000078 - Microsoft.Office.Interop.MSProject._MSProject.get_Version.
06/29/2018 19:26:18.872 [1860]: 1>Warning: System.IO.FileNotFoundException: Could not load file or assembly 'Microsoft.Office.Interop.MSProject, Version=12.0.0.0, Culture=neutral, PublicKeyToken=71e9bce111e9429c' or one of its dependencies. The system cannot find the file specified. while resolving 0xa000389 - Microsoft.Office.Interop.MSProject.Task.get_ID.
06/29/2018 19:26:18.888 [1860]: 1>Warning: System.IO.FileNotFoundException: Could not load file or assembly 'Microsoft.Office.Interop.MSProject, Version=12.0.0.0, Culture=neutral, PublicKeyToken=71e9bce111e9429c' or one of its dependencies. The system cannot find the file specified. while resolving 0xa0004d1 - Microsoft.Office.Interop.MSProject._EProjectDoc_BeforeSaveEventHandler..ctor.
06/29/2018 19:26:18.888 [1860]: 1>Warning: System.IO.FileNotFoundException: Could not load file or assembly 'Microsoft.Office.Interop.MSProject, Version=12.0.0.0, Culture=neutral, PublicKeyToken=71e9bce111e9429c' or one of its dependencies. The system cannot find the file specified. while resolving 0xa0004d2 - Microsoft.Office.Interop.MSProject._EProjectDoc_Event.add_BeforeSave.
06/29/2018 19:26:18.888 [1860]: 1>Warning: System.IO.FileNotFoundException: Could not load file or assembly 'Microsoft.Office.Interop.MSProject, Version=12.0.0.0, Culture=neutral, PublicKeyToken=71e9bce111e9429c' or one of its dependencies. The system cannot find the file specified. while resolving 0xa0004d3 - Microsoft.Office.Interop.MSProject._IProjectDoc.get_CustomDocumentProperties.
06/29/2018 19:26:18.903 [1860]: 1>Warning: System.IO.FileNotFoundException: Could not load file or assembly 'Microsoft.Office.Interop.MSProject, Version=12.0.0.0, Culture=neutral, PublicKeyToken=71e9bce111e9429c' or one of its dependencies. The system cannot find the file specified. while resolving 0xa0004d4 - Microsoft.Office.Interop.MSProject._EProjectDoc_Event.remove_BeforeSave.
06/29/2018 19:26:18.919 [1860]: 1>Warning: System.IO.FileNotFoundException: Could not load file or assembly 'Microsoft.Office.Interop.MSProject, Version=12.0.0.0, Culture=neutral, PublicKeyToken=71e9bce111e9429c' or one of its dependencies. The system cannot find the file specified.. If this assembly is found during runtime of an application, then the native image currently being generated will not be used.
06/29/2018 19:26:20.216 [1860]: 1>    Compiling assembly Microsoft.TeamFoundation.TestImpact.Client, Version=11.0.0.00000, Culture=neutral, PublicKeyToken=B03F5F7F11D50A3A (CLR v4.0.30319) ...
06/29/2018 19:26:20.747 [1860]: 1>    Compiling assembly Microsoft.TeamFoundation.TestManagement.Client, Version=11.0.0.00000, Culture=neutral, PublicKeyToken=B03F5F7F11D50A3A (CLR v4.0.30319) ...
06/29/2018 19:26:23.981 [1860]: 1>    Compiling assembly Microsoft.TeamFoundation.TestManagement.Common, Version=11.0.0.00000, Culture=neutral, PublicKeyToken=B03F5F7F11D50A3A (CLR v4.0.30319) ...
06/29/2018 19:26:24.403 [1860]: 1>    Compiling assembly Microsoft.TeamFoundation.VersionControl.Client, Version=11.0.0.00000, Culture=neutral, PublicKeyToken=B03F5F7F11D50A3A (CLR v4.0.30319) ...
06/29/2018 19:26:27.435 [1860]: 1>    Compiling assembly Microsoft.TeamFoundation.VersionControl.Common, Version=11.0.0.00000, Culture=neutral, PublicKeyToken=B03F5F7F11D50A3A (CLR v4.0.30319) ...
06/29/2018 19:26:27.825 [1860]: 1>    Compiling assembly Microsoft.TeamFoundation.VersionControl.Common.Integration, Version=11.0.0.00000, Culture=neutral, PublicKeyToken=B03F5F7F11D50A3A (CLR v4.0.30319) ...
06/29/2018 19:26:28.497 [1860]: 1>    Compiling assembly Microsoft.TeamFoundation.VersionControl.Controls, Version=11.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a (CLR v4.0.30319) ...
06/29/2018 19:26:31.060 [1860]: 1>    Compiling assembly Microsoft.TeamFoundation.WorkItemTracking.Client, Version=11.0.0.00000, Culture=neutral, PublicKeyToken=B03F5F7F11D50A3A (CLR v4.0.30319) ...
06/29/2018 19:26:33.091 [1860]: 1>    Compiling assembly Microsoft.TeamFoundation.WorkItemTracking.Client.DataStoreLoader, Version=11.0.0.00000, Culture=neutral, PublicKeyToken=B03F5F7F11D50A3A (CLR v4.0.30319) ...
06/29/2018 19:26:33.528 [1860]: 1>    Compiling assembly Microsoft.TeamFoundation.WorkItemTracking.Client.QueryLanguage, Version=11.0.0.00000, Culture=neutral, PublicKeyToken=B03F5F7F11D50A3A (CLR v4.0.30319) ...
06/29/2018 19:26:33.810 [1860]: 1>    Compiling assembly Microsoft.TeamFoundation.WorkItemTracking.Common, Version=11.0.0.00000, Culture=neutral, PublicKeyToken=B03F5F7F11D50A3A (CLR v4.0.30319) ...
06/29/2018 19:26:34.231 [1860]: 1>    Compiling assembly Microsoft.TeamFoundation.WorkItemTracking.Proxy, Version=11.0.0.00000, Culture=neutral, PublicKeyToken=B03F5F7F11D50A3A (CLR v4.0.30319) ...
06/29/2018 19:26:35.122 [1860]: 1>    Compiling assembly Microsoft.Tpm.Commands, Version=10.0.0.0, Culture=Neutral, PublicKeyToken=31bf3856ad364e35, processorArchitecture=x86 (CLR v4.0.30319) ...
06/29/2018 19:26:35.997 [1860]: 1>    Compiling assembly Microsoft.VisualBasic.Editor, Version=11.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a (CLR v4.0.30319) ...
06/29/2018 19:26:37.028 [1860]: 1>    Compiling assembly Microsoft.VisualBasic.LanguageService, Version=11.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a (CLR v4.0.30319) ...
06/29/2018 19:26:39.872 [1860]: 1>    Compiling assembly Microsoft.VisualC.Editor.Implementation, Version=11.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a (CLR v4.0.30319) ...
06/29/2018 19:26:40.575 [1860]: 1>    Compiling assembly Microsoft.VisualC.QuickSearch.Implementation, Version=11.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a (CLR v4.0.30319) ...
06/29/2018 19:26:41.044 [1860]: 1>    Compiling assembly Microsoft.VisualStudio, Version=11.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a (CLR v4.0.30319) ...
06/29/2018 19:26:42.403 [1860]: 1>    Compiling assembly Microsoft.VisualStudio.AppDesigner, Version=11.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a (CLR v4.0.30319) ...
06/29/2018 19:26:44.107 [1860]: 1>    Compiling assembly Microsoft.VisualStudio.ArchitectureExplorerPackage, Version=11.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a (CLR v4.0.30319) ...
06/29/2018 19:26:45.450 [1860]: 1>    Compiling assembly Microsoft.VisualStudio.ArchitectureTools.AssemblyMetadataProvider, Version=11.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a (CLR v4.0.30319) ...
06/29/2018 19:26:46.279 [1860]: 1>    Compiling assembly Microsoft.VisualStudio.ArchitectureTools.NativePRProvider, Version=11.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a (CLR v4.0.30319) ...
06/29/2018 19:26:47.950 [1860]: 1>    Compiling assembly Microsoft.VisualStudio.ArchitectureTools.PEReader, Version=11.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a (CLR v4.0.30319) ...
06/29/2018 19:26:49.200 [1860]: 1>    Compiling assembly Microsoft.VisualStudio.ArchitectureTools.ProgressiveRevealProvider, Version=11.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a (CLR v4.0.30319) ...
06/29/2018 19:26:49.935 [1860]: 1>    Compiling assembly Microsoft.VisualStudio.CommonIDE, Version=11.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a (CLR v4.0.30319) ...
06/29/2018 19:26:51.419 [1860]: 1>    Compiling assembly Microsoft.VisualStudio.ComponentModelHost.Implementation, Version=11.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a (CLR v4.0.30319) ...
06/29/2018 19:26:51.904 [1860]: 1>    Compiling assembly Microsoft.VisualStudio.Configuration, Version=11.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a (CLR v4.0.30319) ...
06/29/2018 19:26:52.732 [1860]: 1>    Compiling assembly Microsoft.VisualStudio.CoreUtility, Version=11.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a (CLR v4.0.30319) ...
06/29/2018 19:26:53.200 [1860]: 1>    Compiling assembly Microsoft.VisualStudio.CSharp.NavigateTo, Version=11.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a (CLR v4.0.30319) ...
06/29/2018 19:26:53.935 [1860]: 1>    Compiling assembly Microsoft.VisualStudio.CSharp.Services.Language, Version=11.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a (CLR v4.0.30319) ...
06/29/2018 19:26:56.169 [1860]: 1>    Compiling assembly Microsoft.VisualStudio.CSharp.SmartTags, Version=11.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a (CLR v4.0.30319) ...
06/29/2018 19:26:57.044 [1860]: 1>    Compiling assembly Microsoft.VisualStudio.CSS.Package, Version=11.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a (CLR v4.0.30319) ...
06/29/2018 19:26:57.716 [1860]: Failed to load dependency Microsoft.Data.Tools.Schema.Utilities.Sql.11 of assembly Microsoft.VisualStudio.Data.Tools.Delta, Version=11.1.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a because of the following error : The system cannot find the file specified. (Exception from HRESULT: 0x80070002)
06/29/2018 19:26:57.763 [1860]: 1>    Compiling assembly Microsoft.VisualStudio.Data.Tools.Delta, Version=11.1.0.00000, Culture=neutral, PublicKeyToken=B03F5F7F11D50A3A (CLR v4.0.30319) ...
06/29/2018 19:26:57.904 [1860]: 1>Warning: System.IO.FileNotFoundException: Could not load file or assembly 'Microsoft.Data.Tools.Schema.Utilities.Sql.11, Version=11.1.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a' or one of its dependencies. The system cannot find the file specified. while resolving 0x10000d8 - Microsoft.Data.Tools.Schema.Utilities.Sql.Diagnostics.SqlTracer.
06/29/2018 19:26:57.904 [1860]: 1>Warning: System.IO.FileNotFoundException: Could not load file or assembly 'Microsoft.Data.Tools.Schema.Utilities.Sql.11, Version=11.1.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a' or one of its dependencies. The system cannot find the file specified. while resolving 0x10000d9 - Microsoft.Data.Tools.Schema.Utilities.Sql.Diagnostics.SqlTraceId.
06/29/2018 19:26:57.904 [1860]: 1>Warning: System.IO.FileNotFoundException: Could not load file or assembly 'Microsoft.Data.Tools.Schema.Utilities.Sql.11, Version=11.1.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a' or one of its dependencies. The system cannot find the file specified. while resolving 0xa000193 - Microsoft.Data.Tools.Schema.Utilities.Sql.Diagnostics.SqlTracer.TraceException.
06/29/2018 19:26:58.076 [1860]: 1>Warning: System.IO.FileNotFoundException: Could not load file or assembly 'Microsoft.Data.Tools.Schema.Utilities.Sql.11, Version=11.1.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a' or one of its dependencies. The system cannot find the file specified.. If this assembly is found during runtime of an application, then the native image currently being generated will not be used.
06/29/2018 19:26:58.779 [1860]: 1>    Compiling assembly Microsoft.VisualStudio.Data.Tools.Delta.UI, Version=11.1.0.00000, Culture=neutral, PublicKeyToken=B03F5F7F11D50A3A (CLR v4.0.30319) ...
06/29/2018 19:26:59.372 [1860]: Failed to load dependency Microsoft.VisualStudio.Debugger.Parallel.MultiValueVisualizers of assembly Microsoft.VisualStudio.Debugger.Parallel, Version=11.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a because of the following error : The system cannot find the file specified. (Exception from HRESULT: 0x80070002)
06/29/2018 19:26:59.529 [1860]: 1>    Compiling assembly Microsoft.VisualStudio.Debugger.Parallel, Version=11.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a (CLR v4.0.30319) ...
06/29/2018 19:26:59.654 [1860]: 1>Warning: System.IO.FileNotFoundException: Could not load file or assembly 'Microsoft.VisualStudio.Debugger.Parallel.MultiValueVisualizers, Version=11.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a' or one of its dependencies. The system cannot find the file specified. while resolving 0x2000021 - Microsoft.VisualStudio.Debugger.Parallel.UI.ExpressionContext.
06/29/2018 19:26:59.654 [1860]: 1>Warning: System.IO.FileNotFoundException: Could not load file or assembly 'Microsoft.VisualStudio.Debugger.Parallel.MultiValueVisualizers, Version=11.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a' or one of its dependencies. The system cannot find the file specified. while resolving 0x2000022 - Microsoft.VisualStudio.Debugger.Parallel.UI.ExpressionValueCollection.
06/29/2018 19:26:59.654 [1860]: 1>Warning: System.IO.FileNotFoundException: Could not load file or assembly 'Microsoft.VisualStudio.Debugger.Parallel.MultiValueVisualizers, Version=11.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a' or one of its dependencies. The system cannot find the file specified. while resolving 0x2000023 - ExpressionValueEnumerator.
06/29/2018 19:26:59.654 [1860]: 1>Warning: System.IO.FileNotFoundException: Could not load file or assembly 'Microsoft.VisualStudio.Debugger.Parallel.MultiValueVisualizers, Version=11.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a' or one of its dependencies. The system cannot find the file specified. while resolving 0x2000025 - Microsoft.VisualStudio.Debugger.Parallel.UI.ExpressionValue.
06/29/2018 19:26:59.732 [1860]: 1>Warning: System.IO.FileNotFoundException: Could not load file or assembly 'Microsoft.VisualStudio.Debugger.Parallel.MultiValueVisualizers, Version=11.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a' or one of its dependencies. The system cannot find the file specified. while resolving 0x100000b - Microsoft.VisualStudio.Debugger.Parallel.MultiValueVisualizers.IExpressionContext.
06/29/2018 19:26:59.747 [1860]: 1>Warning: System.IO.FileNotFoundException: Could not load file or assembly 'Microsoft.VisualStudio.Debugger.Parallel.MultiValueVisualizers, Version=11.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a' or one of its dependencies. The system cannot find the file specified. while resolving 0x100000c - Microsoft.VisualStudio.Debugger.Parallel.MultiValueVisualizers.IExpressionValueCollection.
06/29/2018 19:26:59.747 [1860]: 1>Warning: System.IO.FileNotFoundException: Could not load file or assembly 'Microsoft.VisualStudio.Debugger.Parallel.MultiValueVisualizers, Version=11.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a' or one of its dependencies. The system cannot find the file specified. while resolving 0x100000e - Microsoft.VisualStudio.Debugger.Parallel.MultiValueVisualizers.IExpressionValue.
06/29/2018 19:26:59.763 [1860]: 1>Warning: System.IO.FileNotFoundException: Could not load file or assembly 'Microsoft.VisualStudio.Debugger.Parallel.MultiValueVisualizers, Version=11.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a' or one of its dependencies. The system cannot find the file specified. while resolving 0x1000084 - Microsoft.VisualStudio.Debugger.Parallel.MultiValueVisualizers.IMultiValueVisualizer.
06/29/2018 19:26:59.919 [1860]: 1>Warning: System.IO.FileNotFoundException: Could not load file or assembly 'Microsoft.VisualStudio.Debugger.Parallel.MultiValueVisualizers, Version=11.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a' or one of its dependencies. The system cannot find the file specified. while resolving 0x1b000001 - .
06/29/2018 19:26:59.919 [1860]: 1>Warning: System.IO.FileNotFoundException: Could not load file or assembly 'Microsoft.VisualStudio.Debugger.Parallel.MultiValueVisualizers, Version=11.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a' or one of its dependencies. The system cannot find the file specified. while resolving 0x1b000002 - .
06/29/2018 19:26:59.919 [1860]: 1>Warning: System.IO.FileNotFoundException: Could not load file or assembly 'Microsoft.VisualStudio.Debugger.Parallel.MultiValueVisualizers, Version=11.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a' or one of its dependencies. The system cannot find the file specified. while resolving 0x1b000003 - .
06/29/2018 19:26:59.935 [1860]: 1>Warning: System.IO.FileNotFoundException: Could not load file or assembly 'Microsoft.VisualStudio.Debugger.Parallel.MultiValueVisualizers, Version=11.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a' or one of its dependencies. The system cannot find the file specified. while resolving 0x1b000054 - .
06/29/2018 19:26:59.935 [1860]: 1>Warning: System.IO.FileNotFoundException: Could not load file or assembly 'Microsoft.VisualStudio.Debugger.Parallel.MultiValueVisualizers, Version=11.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a' or one of its dependencies. The system cannot find the file specified. while resolving 0x1b000058 - .
06/29/2018 19:26:59.935 [1860]: 1>Warning: System.IO.FileNotFoundException: Could not load file or assembly 'Microsoft.VisualStudio.Debugger.Parallel.MultiValueVisualizers, Version=11.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a' or one of its dependencies. The system cannot find the file specified. while resolving 0x1b000059 - .
06/29/2018 19:26:59.935 [1860]: 1>Warning: System.IO.FileNotFoundException: Could not load file or assembly 'Microsoft.VisualStudio.Debugger.Parallel.MultiValueVisualizers, Version=11.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a' or one of its dependencies. The system cannot find the file specified. while resolving 0x1b00005c - .
06/29/2018 19:26:59.951 [1860]: 1>Warning: System.IO.FileNotFoundException: Could not load file or assembly 'Microsoft.VisualStudio.Debugger.Parallel.MultiValueVisualizers, Version=11.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a' or one of its dependencies. The system cannot find the file specified. while resolving 0x1b00008c - .
06/29/2018 19:26:59.951 [1860]: 1>Warning: System.IO.FileNotFoundException: Could not load file or assembly 'Microsoft.VisualStudio.Debugger.Parallel.MultiValueVisualizers, Version=11.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a' or one of its dependencies. The system cannot find the file specified. while resolving 0xa000298 - Microsoft.VisualStudio.Debugger.Parallel.MultiValueVisualizers.IMultiValueVisualizer.DisplayValue.
06/29/2018 19:27:00.169 [1860]: 1>Warning: System.IO.FileNotFoundException: Could not load file or assembly 'Microsoft.VisualStudio.Debugger.Parallel.MultiValueVisualizers, Version=11.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a' or one of its dependencies. The system cannot find the file specified. (Exception from HRESULT: 0x80070002). If this assembly is found during runtime of an application, then the native image currently being generated will not be used.
06/29/2018 19:27:00.201 [1860]: 1>Warning: System.IO.FileNotFoundException: Could not load file or assembly 'Microsoft.VisualStudio.Debugger.Parallel.MultiValueVisualizers, Version=11.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a' or one of its dependencies. The system cannot find the file specified.. If this assembly is found during runtime of an application, then the native image currently being generated will not be used.
